interests,user,interested_categories
"Lean Startup,Outdoors,Outdoor Adventures,Locals & New in Town,nodeJS,Collaboration,Web Design,Computer programming,Psychology,Japanese Culture,SEO (Search Engine Optimization),Creative Freelancers,Business Strategy,Self Exploration,Professional Development,Ethics,Cruiser Bikes,New York City,Intellectual Discussion,Technology Startups,Italiano,Learning,French Language,Communication Skills,Hiking,Young Professionals,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Sebastian R.,"Health & Wellness,Food & Drink,Career & Business,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Beliefs,Family,Book Clubs"
"Business Intelligence,Business Intelligence Data Warehousing,Data Warehousing,Fitness,Classic Books,Writer's Block,Professional Development,Fiction,Novel Reading,Outdoor  Fitness,Authors,Readers,Writing Workshops,Novel Writing,Women's Book Club,Fiction Writing,Books and Drinks,Coffee & Books,Short Stories,Book writing,Poetry,Screenwriting,Architecture,Innovation,Book Club,Crafts,DIY (Do It Yourself),Literature,Creative Writing,Reading,Mobile Technology,Writing,Big Data,Creative Freelancers,Creativity,Blogging,Blogging to Promote Yourself,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Aakanksha,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Writing,LGBTQ,Social,Music,Sci-Fi & Games,Arts,Tech,Hobbies & Crafts,Movements,Beliefs,Book Clubs"
"Business Strategy,Professional Networking,Entrepreneur Networking,Statistical Consulting,Text Mining,Applied Statistics,Natural Language Processing,Web Analytics,Business Intelligence,Data Science,Python,Technology,Hadoop,Computer programming,New Technology,R Project for Statistical Computing,Big Data Analytics,Machine Learning,Predictive Analytics,Technology Startups,Data Visualization,Data Mining,Data Analytics,Big Data,Dancing,Live Music,Game Night,Outdoors,Happy Hour,Hiking,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Michael S.,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Music,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Marissa,"Career & Business,Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Dan K.,"Career & Business,Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Chris,"Career & Business,Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Artificial Intelligence,Data Science,Machine Learning,Car Enthusiasts,Live Music,Reading,Cars,Information Architecture,Data Analytics,Tennis,Pick-Up Soccer,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Gautam M.,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Beliefs,Book Clubs"
"Natural Language Processing,Neuroscience,Data Science,New Technology,Startup Businesses,Data Mining,Data Visualization,Big Data,Machine Learning,Predictive Analytics,Data Analytics,Entrepreneurship,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Tzi-Kei W.,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Agile Project Management,Internet Startups,Computer programming,Big Data Analytics,Data Analytics,Machine Learning,Artificial Intelligence,Knowledge Sharing,Blockchain,Blockchain Security,High-Tech Ventures,Big Data,Mobile Development,Technology Startups,Creativity,Business Strategy,Communication Skills,Business Referral Networking,Entrepreneurship,Small Business,Software Development,Professional Networking,Entrepreneur Networking,Startup Businesses,New Technology,Mobile Technology,Social Innovation,Leadership,Professional Development,Education & Technology,Nature,Alternative Energy,Innovation,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Pavel L.,"Career & Business,Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Learning,Arts,Tech,Movements,Book Clubs"
"Investing,Professional Development,Business Intelligence,Leadership,Young Professionals,Business Strategy,Big Data,Startup Businesses,Technology Startups,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Syed S H.,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Learning,Arts,Tech,Movements,Book Clubs"
"Neuroscience,Internet Startups,Entrepreneurship,Technology Startups,Data Visualization,Data Analytics,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Can I.,"Career & Business,Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Scott J.,"Career & Business,Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Professional Development,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Sherry C.,"Career & Business,Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Alexander I.,"Career & Business,Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Movies in Movie Theaters,Independent Filmmaking,Film and Video Production,Japanese Films,Foreign Films,Animation,Watching Movies,Technology Startups,Software Development,E-Commerce,Web Design,Big Data,New Technology,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Ramraj V.,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
